tanggal,pm10,pm25,so2,co,o3,no3,max,critical,categori,location
2021-10-01,58,91,59,11,65,38,91,PM25,SEDANG,DKI4
2021-10-02,70,127,61,12,58,35,127,PM25,TIDAK SEHAT,DKI4
2021-10-03,70,96,62,11,53,28,96,PM25,SEDANG,DKI4
2021-10-04,62,110,60,11,64,29,110,PM25,TIDAK SEHAT,DKI4
2021-10-05,65,90,67,11,54,33,90,PM25,SEDANG,DKI2
2021-10-06,66,103,66,10,58,35,103,PM25,TIDAK SEHAT,DKI4
2021-10-07,52,77,60,9,50,28,77,PM25,SEDANG,DKI4
2021-10-08,60,98,64,11,54,35,98,PM25,SEDANG,DKI4
2021-10-09,55,83,62,9,60,29,83,PM25,SEDANG,DKI4
2021-10-10,61,97,61,9,72,26,97,PM25,SEDANG,DKI4
2021-10-11,68,100,64,12,66,30,100,PM25,SEDANG,DKI2
2021-10-12,77,111,76,12,49,35,111,PM25,TIDAK SEHAT,DKI4
2021-10-13,57,91,63,9,58,31,91,PM25,SEDANG,DKI4
2021-10-14,73,131,65,12,70,35,131,PM25,TIDAK SEHAT,DKI4
2021-10-15,100,157,64,15,64,37,157,PM25,TIDAK SEHAT,DKI4
2021-10-16,68,122,63,15,63,44,122,PM25,TIDAK SEHAT,DKI4
2021-10-17,71,126,63,15,65,30,126,PM25,TIDAK SEHAT,DKI4
2021-10-18,57,88,58,11,45,26,88,PM25,SEDANG,DKI4
2021-10-19,52,81,60,18,42,35,81,PM25,SEDANG,DKI5
2021-10-20,50,96,73,11,50,27,96,PM25,SEDANG,DKI4
2021-10-21,53,74,61,11,57,32,74,PM25,SEDANG,DKI3
2021-10-22,73,120,82,18,46,48,120,PM25,TIDAK SEHAT,DKI4
2021-10-23,67,109,81,13,53,36,109,PM25,TIDAK SEHAT,DKI4
2021-10-24,68,113,60,17,62,36,113,PM25,TIDAK SEHAT,DKI4
2021-10-25,65,104,62,14,70,37,104,PM25,TIDAK SEHAT,DKI4
2021-10-26,75,130,67,16,50,43,130,PM25,TIDAK SEHAT,DKI4
2021-10-27,62,90,64,15,50,39,90,PM25,SEDANG,DKI4
2021-10-28,54,78,67,16,56,39,78,PM25,SEDANG,DKI4
2021-10-29,54,79,80,19,49,35,80,SO2,SEDANG,DKI2
2021-10-30,64,103,81,15,58,40,103,PM25,TIDAK SEHAT,DKI4
2021-10-31,56,79,63,28,56,32,79,PM25,SEDANG,DKI4
