tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location
2021-11-01,64,91,77,17,48,41,91,PM25,SEDANG,DKI5
2021-11-02,54,77,51,18,49,35,77,PM25,SEDANG,DKI4
2021-11-03,52,83,51,13,73,38,83,PM25,SEDANG,DKI4
2021-11-04,63,95,52,17,63,47,95,PM25,SEDANG,DKI2
2021-11-05,64,95,52,23,46,46,95,PM25,SEDANG,DKI4
2021-11-06,57,86,52,13,52,40,86,PM25,SEDANG,DKI4
2021-11-07,52,81,51,10,55,25,81,PM25,SEDANG,DKI4
2021-11-08,53,73,52,20,39,41,73,PM25,SEDANG,DKI2
2021-11-09,67,106,51,21,47,38,106,PM25,TIDAK SEHAT,DKI4
2021-11-10,61,100,51,11,36,25,100,PM25,SEDANG,DKI4
2021-11-11,47,71,51,12,36,32,71,PM25,SEDANG,DKI4
2021-11-12,44,63,47,10,38,19,63,PM25,SEDANG,DKI4
2021-11-13,52,82,47,16,52,40,82,PM25,SEDANG,DKI4
2021-11-14,50,68,47,13,46,34,68,PM25,SEDANG,DKI4
2021-11-15,36,58,47,9,36,17,58,PM25,SEDANG,DKI4
2021-11-16,53,82,47,11,41,14,82,PM25,SEDANG,DKI3
2021-11-17,60,99,50,13,45,35,99,PM25,SEDANG,DKI4
2021-11-18,63,106,43,18,56,35,106,PM25,TIDAK SEHAT,DKI4
2021-11-19,32,45,41,7,42,12,45,PM25,BAIK,DKI2
2021-11-20,37,58,43,8,41,17,58,PM25,SEDANG,DKI4
2021-11-21,52,76,41,19,45,44,76,PM25,SEDANG,DKI3
2021-11-22,29,45,42,7,41,12,45,PM25,BAIK,DKI4
2021-11-23,25,55,41,7,41,9,55,PM25,SEDANG,DKI2
2021-11-24,35,59,42,8,37,12,59,PM25,SEDANG,DKI4
2021-11-25,63,83,42,12,40,21,83,PM25,SEDANG,DKI3
2021-11-26,58,78,41,17,39,31,78,PM25,SEDANG,DKI4
2021-11-27,37,56,41,10,45,22,56,PM25,SEDANG,DKI4
2021-11-28,19,33,41,7,47,10,47,O3,BAIK,DKI2
2021-11-29,29,55,42,8,42,12,55,PM25,SEDANG,DKI4
2021-11-30,46,66,43,10,44,17,66,PM25,SEDANG,DKI4
